song,festival
Jo Dee Messina - Lesson In Leavin',0.161553
Ella Fitzgerald & Louis Armstrong - Love Is Here To Stay,0.16144
AC?DC - Shot Down In Flames,0.161406
Flyleaf - I'm So Sick,0.161185
Los Rieleros Del Norte - Fue Mentira,0.161061
Dean Martin - Ain't That A Kick In The Head,0.161007
Betty Everett - It's In His Kiss (The Shoop Shoop Song),0.160669
The Monkees - The Monkees,0.160658
Jerry Jeff Walker - Gettin' By (Live),0.160587
Dave Barker - Don't Let The Sun Catch You Crying,0.16057
Don Ross - Berkley Springs,0.159973
Toquinho & Paulinho Da Viola - Tarde Em Itapoa (live),0.159927
The Beatles - Love Me Do,0.159718
Junior Brown - I Hung It Up,0.159382
Guns N' Roses - Knockin' On Heaven's Door,0.159073
Broken Social Scene - Cause = Time,0.158902
Sade - By Your Side,0.158722
Melissa Ferrick - Fear And Time,0.158669
Iron & Wine - Communion Cups And Someone's Coat,0.158246
AC?DC - It's A Long Way To The Top (If You Wanna Rock 'n' Roll),0.158208
The Clovers - Devil Or Angel,0.157969
Dj Baby Anne & Jen Lasher - Fear2,0.157881
Toots & The Maytals - Funky Kingston,0.157866
Dan The Automator - Champions (Instrumental),0.157736
Del Tha Funkee Homosapien - Jaw Gymnastics (feat. Casual),0.157396
Novakill - Why Won't You Die!?!,0.157177
Angelo Debarre Et Ludovic Beier - Passion (En Duo),0.156334
Lazy Lester - A Woman,0.156106
Young Jeezy - Soul Survivor,0.155006
Los Lobos - Shakin' Shakin' Shakes,0.154971
The Beatles - I Feel Fine,0.154487
Peter Mulvey - Bloomington,0.154405
Paul Oakenfold - Sex 'n' Money,0.153596
Antonio Aguilar - Triste Recuerdo,0.152933
Anointed - Mighty Long Way,0.152893
Soda Stereo - Ella Uso Mi Cabeza Como Un Revolver,0.152459
The Pharcyde - On The DL (Instrumental),0.152344
Johannes Linstead - Cielo Azul,0.152197
The Mission UK - Love Me To Death,0.152136
Zion - Zun Da Da,0.152092
Huracanes Del Norte - Falsas Ilusiones,0.151688
Blackmore's Night (Holiday) - Emmanuel,0.151572
Otis Spann - Rock Me Mama,0.150649
Zion - Fantasma,0.150214
The Beatles - You Won't See Me,0.15
Del Tha Funkee Homosapien - Phoney Phranchise,0.149934
Sharon Jones & The Dap-Kings - Be Easy,0.149602
2Pac (Tupac) - How Do U Want It,0.149531
DJ Drama & Lil' Wayne - Gettin' Some Head,0.149509
The Dirty Projectors - Time Birthed Spilled Blood,0.14941
Hank Williams III - Honky Tonk Girls,0.14889
The Roots - Stay Cool,0.148605
Alc (A Lo Cubano) - Vanilla Y Chocolate,0.148467
Keith Sweat (Holiday) - It's Christmas Again,0.148317
Kaskade - Honesty,0.148079
Little Milton - My Back Scratcher,0.148018
Rissi Palmer - Leavin' On Your Mind,0.147951
Sam Bush - Girl Of The North Country (live),0.147515
George Acosta - The Storm,0.147453
The Roots - No Alibi,0.146471
Alison Krauss - Endless Highway,0.146212
Junior Brown - Gotta Get Up Everymorning,0.146194
Tony Bennett - What A Wonderful World,0.14611
Christopher Lawrence - Hot Rod,0.145848
Jr. Walker & The All Stars - What Does It Take (To Win Your Love),0.145814
Duran Duran - Ordinary World,0.145756
Blackmore's Night (Holiday) - Ma-O-Tzur,0.145584
The Bronx - False Alarm,0.145057
Jackson 5 - I Want You Back,0.145035
Sex Pistols - Problems,0.144759
RJD2 - Get It,0.144712
Daddy Yankee - Gasolina,0.144682
Daddy Yankee - Rompe,0.144654
Larry Carlton - Roll With It,0.144594
The Beatles - No Reply,0.144444
The Monkees - I'm A Believer (Mono),0.144411
The Commodores - Brick House,0.14438
James Cotton - Soul Survivor,0.144262
Marvin Gaye - What's Going On,0.144017
Lazy Lester - My Home Is A Prison,0.143609
XTC - Chalkhills And Children,0.142705
Peter White - What Does It Take To Win Your Love,0.142606
Louis Armstrong (Holiday) - Winter Wonderland,0.142473
Johannes Linstead - La Rumbita,0.142459
Brother Ali - Blah Blah Blah (feat. Slug),0.142235
The Del McCoury Band - A Far Cry,0.14196
Take 6 - Come On,0.141698
G. Love & Special Sauce - Love,0.141392
Fugazi - Merchandise,0.140562
The Five Blind Boys Of Mississippi - Thank The Lord I'm Singing Again,0.140485
Spyro Gyra - Believe,0.140375
David Wilcox - Rusty Old American Dream,0.139648
Wreckless Eric - Whole Wide World,0.138887
Juno Reactor - Silver,0.138844
Peter & Gordon (60s) - A World Without Love,0.138743
The Dirty Projectors - Rise Above,0.138673
Trebol Clan. Hector & Joan - Gata Fiera,0.138668
Leroy Carr - Sloppy Drunk Blues,0.13836
Klute - Crosby,0.138313
Outkast - Ms. Jackson,0.138288
Los Rieleros Del Norte - El Amor No Se Vende,0.138015
John Danley - Atlas Bone,0.137791
Lutan Fyah - No More Suffering,0.137261
Sugarloaf - Green-Eyed Lady,0.137084
Nitty Gritty Dirt Band - One Sure Honest Line,0.136568
Tetsu Inoue - Mini Moon,0.136529
Tim Bluhm - California Way,0.136367
Asleep At The Wheel - Stay All Night,0.13597
Bonerama - Funky Miracle,0.135845
The Beatles - When I Get Home,0.135684
John Scofield - Beep Beep,0.135136
Michael Jackson (Holiday) - Little Christmas Tree,0.13418
The Beatles - She Came In Through The Bathroom Window,0.13372
Parts & Labor - Long Way Down,0.133323
DJ Muggs Vs GZA - Unstoppable Threats (Instrumental),0.133002
Waylon Jennings - San Francisco Mabel Joy,0.132491
Joey Ramone - Like A Drug I Never Did Before,0.132384
Donnie McClurkin - Again,0.132104
Outkast - The Way You Move,0.132029
Guns N' Roses - Live And Let Die,0.13192
Dimmu Borgir - Allegiance,0.131754
Huracanes Del Norte - Nomas Por Tu Culpa,0.131732
Yuri Buenaventura - Salsa,0.131539
Del Tha Funkee Homosapien - Burnt (feat. The Hyrogliphics),0.131188
Jay Reatard - Turning Blue,0.130786
Dan The Automator - Sleep,0.130696
D - Nox & Beckers - Jet Lag Slave,0.129816
Black Lips - Boone,0.129627
Kalmah - Withering Away,0.128548
Ambrosia - How Much I Feel,0.128314
The Jam - Absolute Beginners,0.128309
Loudon Wainwright III - The Swimming Song,0.128056
The Pharcyde - Passing Me By,0.127609
Nine Inch Nails - Heresy,0.127541
The Supremes - Love Is Here And Now You're Gone,0.127164
Reno & Smiley - Charlotte Breakdown,0.127105
Michael Martin Murphey - Tumbling Tumbleweeds,0.126761
Jake Schepps - Bluff's Collar,0.126458
Tony Bennett - Steppin' Out With My Baby,0.126455
Don Ross - First Ride,0.126024
Charles Wright & The Watts 103rd Street Rhythm Band - Express Yourself,0.125852
Catherine Maclellan - River Valley Plains,0.125774
Seal - Wild,0.125313
Waylon Jennings - Are You Sure Hank Done It This Way,0.124345
The Rolling Stones - Street Fighting Man,0.124319
Sharon Jones & The Dap-Kings - Let Them Knock,0.124175
The Rivieras - Count Every Star,0.124108
Outkast - The Whole World,0.124011
Gyptian - Take Me Higher,0.123865
George Acosta - Silence (DJ Tiesto's In Search Of Sunrise Remix),0.123816
David Massengill - Shamas Rides,0.123624
Mixmaster Mike - Bazooka Kanyon,0.123446
Willie Colon & Ruben Blades - Ojos,0.123212
Donnie McClurkin - Yes You Can,0.123194
Tipica 73 - Cachita,0.123147
Van Morrison - Gloria (Performed By Them),0.122609
Sam Bush - Spooky Lane,0.122294
Lauryn Hill - Ex-Factor,0.122056
Phil Collins - Do You Remember?,0.121967
Ian Van Dahl - Castle In The Sky,0.121933
Sam Bush - Mr. Freddie,0.12148
Nitty Gritty Dirt Band - Way Downtown,0.121217
Rihanna - Break It Off,0.121059
Michael Burns - Into Nothing (Hamel's Last Time For 9 Mix),0.120995
War - Why Can't We Be Friends,0.12094
2Pac (Tupac) - Keep Ya Head Up,0.120939
Soulfly - Babylon,0.120805
The Adverts - Safety In Numbers (Live),0.120544
Little Feat - Oh Atlanta,0.120004
Ralph Stanley & The Clinch Mountain Boys - Stone Walls And Steel Bars,0.119974
Lauryn Hill - Can't Take My Eyes Off Of You,0.119813
Margot Meets The Melody Maker - Torch (Extrawelt Remix),0.119504
Cat Stevens - Wild World,0.119495
K-Ci & JoJo - Crazy,0.119334
Sevendust - Enemy,0.119237
Liquid Mind - Balance,0.119001
Delroy Wilson - I Can't Help Myself,0.118846
Port O'Brien - Tree Bones,0.118714
The Royal Guardsmen - Snoopy Vs. The Red Baron,0.118504
Duran Duran - Come Undone,0.117783
Ralph Stanley & The Clinch Mountain Boys - Calling My Children Home,0.117163
Foghat - Dreamer,0.117127
Roni Size & Reprazent - Mexican,0.11702
James Brown - Soul Power,0.116987
AC?DC - For Those About To Rock (We Salute You),0.116968
RJD2 - Solomon Jones,0.116872
The Crests - Angels Listened In,0.116841
Kenny Loggins - Danger Zone,0.116655
AC?DC - Moneytalks,0.116559
Stevie Wonder - Superstition,0.116502
AC?DC - Thunderstruck,0.115882
Del Tha Funkee Homosapien - If You Must,0.115799
Cardenales De Nuevo Leon - Por Las Damas,0.115168
Boys From Indiana - Atlanta Is Burning,0.115113
Nas - Street Dreams,0.114967
In Flames - Take This Life,0.114946
Frank Cornelius - Brick House,0.114932
David Bowie - Ashes To Ashes,0.114758
Los Lobos - Let's Say Goodnight,0.114621
Pepe Aguilar - Perdoname,0.11455
John Danley - Lorianne,0.114306
Down To The Bone - Cellar Funk,0.114293
Albert King - Can't You See What You're Doing To Me,0.114145
The Beatles - Two Of Us,0.114088
Loscil - Kursk,0.113994
Lee Ritenour & Larry Carlton - Crosstown Kids,0.113971
Al Di Meola - Black Pearls,0.113647
Kidz In The Hall - The Pledge,0.113601
Rah - Wave,0.113524
Ned Luberecki - Emergency Pulloff,0.113484
Deep Purple - Smoke On The Water (Live 1973),0.113265
Delroy Wilson - It's The Same Old Song,0.113254
Dan Crary - Reuben,0.112985
John Michael Montgomery - Angel In My Eyes,0.112862
The Monkees - Tomorrow's Gonna Be Another Day,0.112731
Jose Zamora & Damian DP - Transatlantic (feat. Paleday),0.112233
Los Rieleros Del Norte - Me Quieres Matar De Celos,0.112156
Lynyrd Skynyrd - Sweet Home Alabama,0.112007
Bonerama - Louie's Perch,0.111857
Waylon Jennings - Theme From The Dukes Of Hazzard,0.111245
Larry Carlton - Layla,0.111137
Alison Krauss - When You Say Nothing At All,0.111093
Funkadelic - One Nation Under A Groove,0.110837
Liquid Mind - Moment Of Grace,0.110598
Cat Stevens - Don't Be Shy,0.110476
Goodie Mob - The Day After,0.110344
Katalyst - Time Bomb,0.110313
Tony Bennett - I Wanna Be Around,0.110124
Lady Saw - I've Got Your Man,0.109983
Tex Beneke - I Know,0.109928
Foghat - Ride. Ride. Ride,0.109556
Tristeza - Abrazo Distante,0.109508
The Jackson Southernaires - Lead Me,0.109161
Toots & The Maytals - Sweet And Dandy,0.109108
Shadows Of Knight - I'll Make You Sorry,0.10906
Critters Buggin - 5?4 F.T.D.,0.108514
Nitty Gritty Dirt Band - Snowballs,0.108494
The Rolling Stones - Ruby Tuesday,0.108069
Marvin Gaye - I Want You,0.107799
Jesse Harris - Morning In A Strange City (Cafe),0.106797
Kate Rusby - A Rose In April,0.106601
Port O'Brien - Anchor,0.106475
The Rolling Stones - 19th Nervous Breakdown,0.106242
Jackson 5 - Abc,0.105673
Ziggy Marley - Be Free,0.10525
? And The Mysterians - Can't Get Enough Of You Baby,0.105215
Bassnectar - Creation Lullabye,0.105093
Roomful Of Blues (Holiday) - Have Yourself A Merry Little Christmas,0.104975
Omens - Searching,0.104947
Chick Corea Elektric Band - Lifescape,0.104842
The Beatles - Something,0.104823
Cornel Campbell - Screwface,0.104613
The Commodores - Lady (You Bring Me Up),0.104433
Take 6 - Sing A Song,0.103939
The Paul Butterfield Blues Band - Love Her With A Feeling,0.103323
Jens Lekman - The Wrong Hands,0.103085
Clancy Eccles - Sweet Jamaica,0.10305
Public Enemy - Rebel Without A Pause,0.103044
At The Gates - Blinded By Fear,0.102975
Bryan Sutton - Stoney Creek,0.10294
Jack Jones - Luck Be A Lady,0.102835
Traffic - Pearly Queen,0.10257
Lester Young - Foggy Day (Live At Birdland),0.102539
Guns N' Roses - Sweet Child O' Mine,0.102512
Everton Blender - I Love Jah Jah,0.102415
John McEuen - Ryan William's Arrival In America,0.101948
James Cotton - Blues For Jacklyn,0.101937
Flatfoot 56 - Brotherhood,0.101805
BR549 - Georgia On A Fast Train,0.10173
Liquid Mind - Breathe In Me,0.101472
John Prine - It's A Cheating Situation,0.101376
Coles Whalen - The Hand That Gives The Rose,0.100868
James Brown - Cold Sweat (Part 1),0.100826
Nitty Gritty Dirt Band - I Saw The Light,0.100629
Guns N' Roses - Paradise City,0.100527
Dan Gibson - Cool Forest Rain,0.100269
Moonspell - Sons Of Earth,0.099507
Augustus Pablo - Black Gunn,0.099437
Traffic - Smiling Phases,0.099361
Daryl Coley - I Will Bless Your Name,0.098718
Herman's Hermits - There's A Kind Of Hush,0.098559
Toots & The Maytals - Never You Change (Reggae Version),0.098504
Bill Haley & His Comets - Shake. Rattle And Roll,0.098431
Gotan Project - El Capitalismo Foraneo,0.098101
Christina Aguilera (Holiday) - This Christmas,0.097544
John Prine - Pretty Good,0.097471
Ella Fitzgerald - Darn That Dream,0.096987
The Del McCoury Band - I'm Afraid I Forgot The Feeling,0.09698
The Ray Conniff Singers (Holiday) - Silver Bells,0.096378
The Orb - Once More (Bedrock Dub Mix),0.095849
Holly Cole - Christmas Blues,0.095837
Klute - Oshima,0.095615
Robin Thicke - Lost Without U,0.095602
Nitty Gritty Dirt Band - Wildwood Flower,0.095557
Old Crow Medicine Show - Take 'Em Away,0.09554
Eggs Over Easy - 111 Avenue C,0.095322
Peggy Seeger - O The Wind And Rain,0.095138
Katalyst - Break Up,0.095133
Shudder To Think - Goat,0.095078
Converge - Distance And Meaning,0.094872
The Pharcyde - On The DL,0.094721
Question Mark and the Mysterians - 96 Tears,0.094551
Les Brown And His Band Of Renown - The Sweetheart Of Sigma Chi,0.094535
Behemoth - Slaves Shall Serve,0.094506
Lazy Lester - Nothing But The Devil,0.094391
Antonio Carlos Jobim - Agua De Beber (Live),0.094322
In Flames - The Hive,0.093998
The Dead Milkmen - Punk Rock Girl,0.093861
Ohio Players - Fire,0.093829
Hezekiah Jones - Postpone,0.093767
Lester Young - Jump. Lester. Jump,0.093323
P.M. Dawn - I'd Die Without You,0.093315
The Commodores - Easy,0.093277
Dan Crary - Senso Unico,0.093265
Bruce Molsky - Buckdancer's Choice,0.093159
Guitar Shorty - Loosen Up,0.093008
Videos - Trickle Trickle,0.09297
Cher - Gypsys. Tramps & Thieves,0.092893
The Verve - Blue (USA Mix),0.092748
Dan Crary - Cape Foulweather,0.092728
Canned Heat (Holiday) - Christmas Blues,0.092607
Jerry Jeff Walker - L.A. Freeway,0.092591
Alison Krauss - Everytime You Say Goodbye,0.092514
Earl Scruggs - Stash It,0.092455
Janet Beazley - White (Long Time Travelin'),0.092334
Wreckless Eric - Excuse Me,0.092306
Boyz II Men (Holiday) - Let It Snow,0.092238
Decal - Some Kind Of Random,0.092165
Black Sheep - The Choice Is Yours (Album Version),0.091714
John Scofield - Boozer,0.091703
Skid Row - Youth Gone Wild,0.091667
Slim Harpo - Tip On In. Part 1,0.091631
Tommy Emmanuel - Endless Road,0.09109
The Cars - My Best Friends Girl,0.090907
James Brown - Get Up Offa That Thing  (Ali Dee Remix),0.090822
Kidz In The Hall - Don't Stop,0.090767
Billy Preston - Outa-Space,0.090645
The League - Hey Conductor,0.090496
Doyle Dykes - Caleb's Report,0.09045
Underworld - Born Slippy,0.090312
Jim Jackson - Bye. Bye. Policeman,0.090291
Sharon Jones & The Dap-Kings - Nobody's Baby,0.090064
Raekwon - Ice Cream,0.089951
Young Jeezy - My Hood,0.089565
Kit McClure Band - One O'clock Jump,0.089557
See You Next Tuesday - Forever On Deaf Ears,0.089518
Azzido Da Bass - Dooms Night,0.089441
Tim Track - Panic Voice,0.089135
C+C Music Factory - Things That Make You Go Hmmmm?..,0.088856
Fugazi - Reprovisional,0.088582
Anthony Wonsey Trio - Just You. Just Me,0.088523
No Age - I Wanna Sleep,0.088344
Jimmy Dorsey - Begin The Beguine,0.088219
The Rolling Stones - Get Off Of My Cloud,0.08819
The Pharcyde - Pharcyde (Instrumental),0.088131
Foghat - Slow Ride,0.087886
Guardian - Power Of Love,0.08741
Foghat - Drivin' Wheel,0.087187
Sharon Jones & The Dap-Kings - 100 Days. 100 Nights,0.087072
The Beatles - Can't Buy Me Love,0.087043
The Monkees - She,0.087038
Augustus Pablo - East Africa,0.086952
Bryan Sutton - Grover Glen,0.086608
Slim Harpo - You Can't Make It,0.086585
Stevie Wonder - For Once In My Life,0.08655
Doc Watson - Walk On Boy,0.086387
Black Lips - Can't Dance,0.086374
The Pharcyde - Runnin',0.086263
Lowell Fulson - I'm A Night Owl (Part 2),0.08587
J-Dilla - Take Notice,0.085774
Junior Brown - Broke Down South Of Dallas,0.085737
Pepe Bradock - Un Pepe Dans La Dentelle,0.085374
Dean Martin - Everybody Loves Somebody,0.085286
Albert King - I'll Play The Blues For You (Live),0.0852
Lauryn Hill - Doo Wop (That Thing),0.084885
Liquid Mind - My Orchid Spirit,0.084677
Skid Row - I Remember You,0.084627
Yellowman - Hold On To Your Woman,0.084582
Bing Crosby - I Don't Know Why (live),0.084438
Paul Siebel - My Town,0.084399
Jeff Lorber - Chopsticks,0.084223
The Essex - Easier Said Than Done,0.084113
Lords Of The Underground - Funky Child,0.083981
)EIB( - Forgotten,0.083233
Digital Underground - The Humpty Dance,0.083116
The Manhattans - Kiss And Say Goodbye,0.083062
As One - Contours,0.08279
Liquid Mind - Continuity,0.082691
Danny Gatton & Tom Principato - I'm On Fire (Live),0.082639
George Acosta - Precious,0.082554
Seu Jorge - Rebel Rebel,0.082406
Leftfield - Swords,0.082133
The Beatles - Got To Get You Into My Life,0.082096
Outkast - So Fresh. So Clean,0.08201
Marvin Gaye - You're A Wonderful One,0.082
The Del McCoury Band - Dry My Tears And Move On,0.081672
Bonerama - Freddie,0.081588
Stevie Wonder - Ribbon In The Sky,0.081513
Dean Martin - You're Nobody Till Somebody Loves You,0.081445
Lefty Frizzell - Saginaw. Michigan,0.081408
Laurie Z. - The Mysterious Painter,0.081404
Mary Chapin Carpenter - Right Now,0.08137
Eric Harringer & John Paul Lacey - Morning Sun,0.081303
The Grinder - Man Into Space,0.080905
Jurgen Paape - Take That,0.080716
4 Haven Knights - In My Lonely Room,0.08064
Dan Crary - The Fermoy Lass. The Man Of The House,0.080511
Jazzy Jeff & The Fresh Prince - Parents Just Don't Understand,0.080401
Chubby Checker - Pony Time,0.08001
Junior Brown - You Didn't Have To Go All The Way,0.079992
Gladys Knight & The Pips - I Heard It Through The Grapevine,0.079937
Various Artists? Songs Of December - Hailee's Moment,0.079884
Todd Collins (Holiday) - Hailee's Moment,0.079884
Gotan Project - Vuelvo Al Sur,0.079779
Diego El Cigala - Ana. Dolores Y Aurora,0.079727
Goodie Mob - Soul Food,0.079693
Bryan Lee - Just Like A Fish,0.079197
Ani DiFranco - Little Plastic Castle (Live 1.25.04),0.079174
Hazel Dickens & Alice Gerrard - I Just Got Wise,0.07912
Georges Street - The Tartar Frigate,0.079014
Van Morrison - Midnight Special,0.078995
Prince - Kiss (Extended Version),0.078969
Robert Earl Keen - Corpus Christi Bay,0.078934
Sky Saxon - Love Dog,0.078663
Architecture In Helsinki - Spring 2008,0.078641
Jazzy Jeff & The Fresh Prince - Summertime '98 (SoulPower Remix),0.078329
Ella Fitzgerald - I Don't Want To Take A Chance,0.078319
Stevie Wonder - I Wish (Live),0.078185
Classified Project - Resurrection (Original),0.078053
Dean Martin - On The Street Where You Live,0.077906
Will Smith - Men In Black,0.077896
Jean-Luc Ponty - Still In Love,0.077675
Black Lips - Burried Alive,0.077673
England Dan & John Ford Coley - Gone Too Far,0.077535
Public Enemy - Can't Truss It,0.077328
The Pharcyde - Ya Mama (Instrumental),0.077132
Scorpions - Don't Stop At The Top,0.077083
Jake Schepps - In The American West? Rocky Ford,0.076823
Eddie Fisher (Holiday) - My Favorite Things,0.076608
The Paul Butterfield Blues Band - Help Me,0.07654
Orchestral Manoeuvres In The Dark - Dreaming,0.076307
Justin Timberlake - Rock Your Body,0.076179
The Del McCoury Band - On The Lonesome Wind,0.076105
Patrick Lundy - That's Who He Is (Live),0.076034
Fred McDowell - Write Me A Few Of Your Lines,0.075731
Dave & Ansel Collins - Nuclear Weapon,0.075396
The Duskfall - Trust Is Overrated,0.075277
Bing Crosby - When You Wore A Tulip (live),0.07527
Harold Melvin & The Blue Notes - Don't Leave Me This Way,0.075259
Al Di Meola - Milonga Del Angel,0.075118
Converge - Homewrecker,0.074987
Shalamar - Make That Move,0.074565
Prince - Let's Work (Dance Mix),0.074435
Sam Bush - Harbor Docks,0.074378
Dean Martin - Mr. Wonderful (Live),0.074291
Earl Scruggs - Flint Hill Special,0.074182
Herman's Hermits - I'm Henry The VIII I Am,0.074181
Johnny Adams - Not Trustworthy (A Lyin' Woman),0.074043
William Clarke - Five Card Hand,0.073969
Cab Calloway - Limehouse Blues,0.07372
The Smokin' Joe Kubek Band - Comin' Home Today,0.073436
The Beatles - Maxwell's Silver Hammer,0.073137
Guardian - Let It Roll,0.073079
Nick Drake - Here Come The Blues,0.072913
Phil Collins - Another Day In Paradise (Live),0.072889
Waylon Jennings - Clyde,0.072801
Melvin Taylor - Texas Flood,0.072717
Jackie Wilson - Lonely Teardrops,0.072687
George Michael - Fastlove (Forthright Edit),0.072496
Dan Crary - Reedie's Blues,0.072306
Leftover Salmon - Midnight Blues (feat. Del & Ronnie McCoury),0.072084
Kenny Rogers (Holiday) - White Christmas,0.071883
Laurence Juber (Holiday) - God Rest Ye Merry Gentlemen,0.071699
Gilberto Gil - Mancada,0.070953
Scorpions - Big City Nights,0.070844
BBC Big Band Orchestra - On The Sunny Side Of The Street,0.070813
Dan Crary - On The Fritz,0.070588
2Pac (Tupac) - All Eyez On Me,0.070542
Doc & Merle Watson - Big Spike Hammer,0.070501
Uncle Earl - Booth Shot Lincoln,0.070484
Sonny Rollins - A Nightingale Sang In Berkeley Square (Live),0.070469
The Rolling Stones - Shake Your Hips,0.070399
Suffocation - Reincremation,0.070285
Chubby Checker - Limbo Rock,0.07024
John Danley - Whispering Blue,0.070015
Aterciopelados - Bolero Falaz,0.069563
Furry Lewis - Why Don't You Come Home Blues,0.069403
El Lebrijano - Presidiarios Con Sus Caenas,0.069241
Starkillers - Discoteka (Austin Leeds & Terranova Remix),0.069131
Nitty Gritty Dirt Band - You Are My Flower,0.069117
Glen Brown - Wicked Tumbling Version,0.068982
Kidz In The Hall - Wassup Jo',0.068933
The Rolling Stones - I'm Free,0.068892
Bill Haley & His Comets - (We're Gonna) Rock Around The Clock,0.068844
Scorpions - Rock You Like A Hurricane,0.06873
Lil Scrappy & Trillville - No Problem,0.06871
Betty Everett - The Shoop Shoop Song (It's In His Kiss),0.068655
Marcus Johnson - Just Doing What I Do,0.068644
RJD2 - Inhale (Remix),0.068493
Jerry Douglas?Russ Barenberg?Edgar Meyer - Big Bug Shuffle,0.068028
The Beatles - A Day In The Life,0.067995
Glen Gray & The Casa Loma Orchestra - Who's Sorry Now?,0.067978
Converge - You Fail Me,0.067905
Victor Manuelle - Tengo,0.067832
Light This City - Exile,0.067739
Neil Young - Ohio,0.067615
Caia - Afterwards @ The Bar,0.067263
L.T.D. - Jam,0.067076
The Beatles - Day Tripper,0.066959
Chick Corea Elektric Band - Beneath The Mask,0.066761
Fosforito - Nunca Te He Mendtido (Bulerias De Cadiz),0.066665
The Paul Butterfield Blues Band - Piney Brown Blues,0.066626
George Acosta - Tranzy State Of Mind (Club Mix),0.066316
Ani DiFranco - As Is (Live 11.16.03),0.065908
Vince Gill - When I Call Your Name,0.065896
Neil Young - Cripple Creek Ferry,0.065896
Public Enemy - Public Enemy No. 1,0.065749
Stevie Wonder - Do I Do,0.065579
Don Ross - Klimbim,0.065551
Nine Inch Nails - The Only Time,0.065213
Marvin Gaye - Sexual healing,0.065003
Albert King - Jam In A-Flat,0.064982
Louis Armstrong (Holiday) - Christmas Night In Harlem,0.064898
Yellowman - Build A Roof Over Your Head,0.064714
Lowell Fulson - Everyday I Have The Blues,0.064306
Al Stewart - Year Of The Cat,0.064232
Al Stewart - Time Passages,0.063811
Skid Row - Big Guns,0.063757
Ella Fitzgerald - Love Walked In,0.063675
Dire Straits - Once Upon A Time In The West,0.063409
Brenda Lee (Holiday) - White Christmas,0.063188
Cold Grits - It's Your Thing,0.063111
Herman's Hermits - I'm Into Something Good,0.062886
Paul Oakenfold - Amsterdam,0.062804
Jimmy Somerville - To Love Somebody,0.062781
Delroy Wilson - Pretty Girl,0.062638
Klute - Now Always Forever,0.061792
Jackson 5 - Dancing Machine,0.061677
Chino Espinoza -Los Duenos Del Son - Hector Lavoe Medley,0.061605
Gladys Knight & The Pips - Best Thing That Ever Happened To Me,0.061506
Corona - Rythym Of The Night,0.061453
Antonio Carlos Jobim - Children's Games,0.061056
Cat Stevens - The Wind,0.060943
Labelle - Lady Marmalade,0.060887
Prince - Little Red Corvette,0.06079
Marvin Gaye - I'll Be Doggone,0.060103
Lynyrd Skynyrd - Free Bird (Live),0.059926
Brodsky Quartet - I've Seen It All,0.059818
Josh White - One For My Baby,0.059413
The Beatles - With A Little Help From My Friends,0.059234
The Ray Conniff Singers (Holiday) - Santa Claus Is Coming To town,0.059181
Gleisberg - Indian Garden,0.059152
Bunny Berigan - Plantation Moods,0.059074
Sonny Rollins - St. Thomas,0.058755
Maxine Nightingale - Right Back Where We Started From,0.058397
As One - In The Arms Of You,0.05837
Don Carlos & Golo - Tear Drops,0.05824
Z-Ro - Keep On (Chopped & Screwed),0.057825
Lowell Fulson - No More. Pt. 1,0.057564
Whodini - One Love,0.05756
DJ Khaled - Out Here Grindin',0.057465
Craig Pilo - Early Cynical Mystery,0.057398
N.W.A. - Real Niggaz Don't Die,0.057005
Ella Fitzgerald & Louis Armstrong - Cheek To Cheek,0.05683
Digital Underground - Doowutchyalike,0.056818
Johnny Horton - Out In New Mexico,0.05679
Khachaturian. Aram - Masquerada. Suite From The Incidental Music For Orchestra (or Piano),0.056671
The Five Blind Boys Of Alabama - Let Me Hear My Mother Pray Again,0.056471
The Century's - Hard Times,0.05646
Alison Krauss - Wish I Still Had You,0.0564
Jackson 5 - Oh How Happy,0.056027
Junior Brown - My Wife Thinks Your Dead,0.055981
The Seldom Scene - Maybe You Will Change Your Mind,0.055956
George Acosta - Another Way (Club Mix),0.055841
BBC Big Band Orchestra - I'm Getting Sentimental Over You,0.055767
Bob Baldwin - I Wanna Be Where You Are,0.05561
Otis Spann - Home To Mississippi,0.055602
Nine Inch Nails - Kinda I Want To,0.055566
Eric Harringer & John Paul Lacey - Romance,0.055551
The Nomads - Situations,0.055351
Roberto Roena - El Pueblo Pide Que Toque,0.055017
The Roots - You Got Me,0.054799
Michael Martin Murphey (Holiday) - Corn. Water And Wood,0.054798
The Beatles - All You Need Is Love,0.054798
Antonio Aguilar - Mi Ranchito,0.054569
Nate Dogg (Holiday) - Be Thankful,0.054563
Harry James & Benny Goodman - Life Goes To A Party,0.054523
Beres Hammond? Flourgon - Bounce,0.054517
The Beatles - Help!,0.054467
Lowell Fulson - Guitar Shuffle,0.054422
Nas - Represent,0.054272
Roni Size & Reprazent - Brown Paper Bag (Roni Size Full Rap Remix),0.054139
Kidz In The Hall - Dumb*ss Tales,0.054037
Earl Scruggs - Get In Line Brother,0.053895
Tommy Johnson - Cool Drink Of Water Blues,0.053649
O-Shen - Tropically Fine,0.053644
Stevie Wonder - Higher Ground,0.053613
Daddy Yankee - Cuentame,0.053593
David Wilcox - Common As The Rain,0.053567
Liquid Mind - My Silent Knowing,0.053525
David Bowie - Rebel Rebel,0.05336
Little Milton - Penitentiary Blues,0.053235
John Scofield - A Go Go,0.053141
